source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
198,72,198,72,linear algebra,evaluation metrics,1,train,none,0.366392582654953
198,24,198,24,linear algebra,backpropagation,1,train,none,0.4534332752227783
152,100,152,100,conditional probability,phonetics,1,train,none,0.2024867981672287
154,195,154,195,artificial neural network,highway networks,1,train,none,0.4842227101325989
117,178,117,178,gradient descent,bidirectional recurrent neural networks,1,train,none,0.3616194725036621
205,112,205,112,dual decomposition,graphical models,1,train,none,0.35426297783851624
124,1,124,1,matrix multiplication,generative adversarial networks,1,train,none,0.331260085105896
36,184,36,184,language modeling,smoothing and backoff,1,train,none,0.6611295342445374
152,11,152,11,conditional probability,knowledge graph,1,train,none,0.3578318655490875
170,15,170,15,data preprocessing,machine reading comprehension,1,train,none,0.32029956579208374
176,61,176,61,activation functions,neural turing machine,1,train,none,0.5144645571708679
45,182,45,182,bayes theorem,character level language models,1,train,none,0.16058000922203064
112,187,112,187,graphical models,citation networks,1,train,none,0.44234544038772583
199,165,199,165,probability,monte carlo tree search,1,train,none,0.34870338439941406
152,165,152,165,conditional probability,monte carlo tree search,1,train,none,0.25554272532463074
16,32,16,32,context free grammar,tree adjoining grammar,1,train,none,0.6549135446548462
154,78,154,78,artificial neural network,radial basis function network,1,train,none,0.6131701469421387
113,147,113,147,markov chain monte carlo,gibbs sampling,1,train,none,0.8404145836830139
127,134,127,134,backpropagation through time,long short-term memory networks,1,train,none,0.6528393626213074
125,54,125,54,differential calculus,recursive neural network,1,train,none,0.281937837600708
45,71,45,71,bayes theorem,multilingual word,1,train,none,0.15196390450000763
199,104,199,104,probability,spectral methods,1,train,none,0.3250623941421509
97,34,97,34,knowledge representation,relation extraction,1,train,none,0.5885162949562073
17,149,17,149,context sensitive grammar,compositional semantics,1,train,none,0.42953988909721375
167,3,167,3,feature learning,variational autoencoders,1,train,none,0.5727601051330566
24,96,24,96,backpropagation,cnn's,1,train,none,0.4370225667953491
45,104,45,104,bayes theorem,spectral methods,1,train,none,0.26177993416786194
199,48,199,48,probability,deep belief networks,1,train,none,0.4135797619819641
96,193,96,193,cnn's,graph convolutional networks,1,train,none,0.5372282862663269
124,203,124,203,matrix multiplication,graph theory,1,train,none,0.4397484064102173
124,75,124,75,matrix multiplication,newton method,1,train,none,0.3766593337059021
45,144,45,144,bayes theorem,spelling correction,1,train,none,0.26552814245224
147,94,147,94,gibbs sampling,topic modeling,1,train,none,0.48883384466171265
124,175,124,175,matrix multiplication,cross entropy,1,train,none,0.3994073271751404
152,144,152,144,conditional probability,spelling correction,1,train,none,0.24263152480125427
199,3,199,3,probability,variational autoencoders,1,train,none,0.38922661542892456
152,92,152,92,conditional probability,harmonic functions,1,train,none,0.22761718928813934
152,182,152,182,conditional probability,character level language models,1,train,none,0.16104766726493835
198,61,198,61,linear algebra,neural turing machine,1,train,none,0.32307517528533936
18,60,18,60,domain adaptation,one-shot learning,1,train,none,0.4578350782394409
46,147,46,147,hidden markov models,gibbs sampling,1,train,none,0.48158299922943115
45,197,45,197,bayes theorem,multi-modal learning,1,train,none,0.24156540632247925
176,154,176,154,activation functions,artificial neural network,1,train,none,0.7035523653030396
4,6,4,6,ibm translation models,rouge,1,train,none,0.4429081082344055
205,173,205,173,dual decomposition,network theory,1,train,none,0.38781020045280457
200,1,200,1,descriptive statistics and hypothesis testing,generative adversarial networks,1,train,none,0.27082711458206177
152,113,152,113,conditional probability,markov chain monte carlo,1,train,none,0.4127587378025055
204,187,204,187,relational databases,citation networks,1,train,none,0.24733085930347443
46,128,46,128,hidden markov models,grammar checker,1,train,none,0.2965805232524872
125,178,125,178,differential calculus,bidirectional recurrent neural networks,1,train,none,0.28999167680740356
36,182,36,182,language modeling,character level language models,1,train,none,0.7754839658737183
199,63,199,63,probability,distributional semantics,1,train,none,0.3476082384586334
24,191,24,191,backpropagation,seq2seq,1,train,none,0.3706560730934143
124,112,124,112,matrix multiplication,graphical models,1,train,none,0.2696682810783386
24,61,24,61,backpropagation,neural turing machine,1,train,none,0.49371790885925293
