visual_id,concept,file_name,lecture,pdf_file,pdf_page,kind,description,source_type,confidence,bbox
DGL-G0001,road network,l01_p01_road_network_01.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 1 showing real-world graphs: a) road network, b) molecule structure, c) electrical circuit",printed,1.000,"[5.5,110.0,220.0,165.0]"
DGL-G0001,molecular graph,l01_p01_road_network_01.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 1 showing real-world graphs: a) road network, b) molecule structure, c) electrical circuit",printed,1.000,"[5.5,110.0,220.0,165.0]"
DGL-G0001,circuit graph,l01_p01_road_network_01.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 1 showing real-world graphs: a) road network, b) molecule structure, c) electrical circuit",printed,1.000,"[5.5,110.0,220.0,165.0]"
DGL-G0002,directed graph,l01_p01_directed_graph_02.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Hand-drawn small graphs illustrating directed vs undirected, binary vs weighted concepts",handwritten,0.950,"[231.0,137.5,412.5,319.0]"
DGL-G0002,weighted graph,l01_p01_directed_graph_02.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Hand-drawn small graphs illustrating directed vs undirected, binary vs weighted concepts",handwritten,0.950,"[231.0,137.5,412.5,319.0]"
DGL-G0003,directed graph,l01_p01_directed_graph_03.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,"Hand-drawn directed graph with nodes i, j, k and labeled edges l_ij, l_ik=0, l_kj=1",handwritten,0.950,"[231.0,176.0,319.0,319.0]"
DGL-G0003,weighted graph,l01_p01_directed_graph_03.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,"Hand-drawn directed graph with nodes i, j, k and labeled edges l_ij, l_ik=0, l_kj=1",handwritten,0.950,"[231.0,176.0,319.0,319.0]"
DGL-G0004,weighted graph,l01_p01_weighted_graph_04.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,"Hand-drawn undirected weighted graph with nodes and edge weights w_iz=0.9, w_ij=0.5",handwritten,0.950,"[324.5,176.0,412.5,319.0]"
DGL-G0005,multiple edges,l01_p01_multiple_edges_05.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,Diagram of multiple edges connecting two nodes,handwritten,1.000,"[615.0,176.0,670.0,220.0]"
DGL-G0005,simple graph,l01_p01_multiple_edges_05.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,Diagram of multiple edges connecting two nodes,handwritten,1.000,"[615.0,176.0,670.0,220.0]"
DGL-G0006,program flow graph,l01_p01_program_flow_graph_06.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Hand-drawn program flow graph with nodes 1, 2, X, Y",handwritten,0.900,"[192.5,247.5,247.5,302.5]"
DGL-G0007,complete graph,l01_p01_complete_graph_07.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,Diagram of a complete graph with 4 nodes where every pair is connected,handwritten,1.000,"[807.5,247.5,862.5,302.5]"
DGL-G0007,adjacency,l01_p01_complete_graph_07.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,Diagram of a complete graph with 4 nodes where every pair is connected,handwritten,1.000,"[807.5,247.5,862.5,302.5]"
DGL-G0008,social network,l01_p01_social_network_08.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Social network graph with nodes Alice, Bob, Dan, Erin, Carol, Frank",printed,1.000,"[5.5,341.0,82.5,396.0]"
DGL-G0009,citation network,l01_p01_citation_network_09.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Citation network graph with nodes representing papers (Mascia 1990, Mould & Hart 1983, etc.)",printed,1.000,"[88.0,341.0,165.0,396.0]"
DGL-G0010,knowledge graph,l01_p01_knowledge_graph_10.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Knowledge graph with nodes Alice, Bob, Canada, Google, and edges representing relationships",printed,1.000,"[170.5,341.0,247.5,396.0]"
DGL-G0011,subgraph,l01_p01_subgraph_11.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,Diagram illustrating a subgraph H within a larger graph G,handwritten,1.000,"[917.5,357.5,972.5,467.5]"
DGL-G0012,geometric graph,l01_p01_geometric_graph_12.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,Geometric point cloud converted to a mesh/graph structure,printed,1.000,"[5.5,401.5,247.5,456.5]"
DGL-G0013,knowledge graph,l01_p01_knowledge_graph_13.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 2 Types of graph. a) A social network is an undirected graph; the connections between people are symmetric. b) A citation network is a directed graph; one publication cites another, so the relationship is asymmetric. c) A knowledge graph is a directed heterogeneous multigraph. d) A point set can be converted to a graph by forming edges between nearby points. e) The scene on the left can be represented by a hierarchical graph.",printed,1.000,"[27.5,477.5,247.5,615.0]"
DGL-G0013,geometric graph,l01_p01_knowledge_graph_13.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 2 Types of graph. a) A social network is an undirected graph; the connections between people are symmetric. b) A citation network is a directed graph; one publication cites another, so the relationship is asymmetric. c) A knowledge graph is a directed heterogeneous multigraph. d) A point set can be converted to a graph by forming edges between nearby points. e) The scene on the left can be represented by a hierarchical graph.",printed,1.000,"[27.5,477.5,247.5,615.0]"
DGL-G0013,hierarchical graph,l01_p01_knowledge_graph_13.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 2 Types of graph. a) A social network is an undirected graph; the connections between people are symmetric. b) A citation network is a directed graph; one publication cites another, so the relationship is asymmetric. c) A knowledge graph is a directed heterogeneous multigraph. d) A point set can be converted to a graph by forming edges between nearby points. e) The scene on the left can be represented by a hierarchical graph.",printed,1.000,"[27.5,477.5,247.5,615.0]"
DGL-G0014,subgraph,l01_p01_subgraph_14.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Examples of subgraphs, proper subgraphs, and spanning subgraphs.",handwritten,0.950,"[917.5,477.5,972.5,587.5]"
DGL-G0014,proper subgraph,l01_p01_subgraph_14.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Examples of subgraphs, proper subgraphs, and spanning subgraphs.",handwritten,0.950,"[917.5,477.5,972.5,587.5]"
DGL-G0014,spanning subgraph,l01_p01_subgraph_14.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Examples of subgraphs, proper subgraphs, and spanning subgraphs.",handwritten,0.950,"[917.5,477.5,972.5,587.5]"
DGL-G0015,incidence matrix,l01_p01_incidence_matrix_15.png,1,DGL_Lecture_1_Annotated.pdf,1,matrix,incidence matrix for a hypergraph,handwritten,1.000,"[275.0,560.0,357.5,615.0]"
DGL-G0015,hypergraph,l01_p01_incidence_matrix_15.png,1,DGL_Lecture_1_Annotated.pdf,1,matrix,incidence matrix for a hypergraph,handwritten,1.000,"[275.0,560.0,357.5,615.0]"
DGL-G0016,hypergraph,l01_p01_hypergraph_16.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,"hypergraph with hyperedges e1, e2, e3, e4",handwritten,1.000,"[357.5,560.0,495.0,670.0]"
DGL-G0016,hyperedge,l01_p01_hypergraph_16.png,1,DGL_Lecture_1_Annotated.pdf,1,diagram,"hypergraph with hyperedges e1, e2, e3, e4",handwritten,1.000,"[357.5,560.0,495.0,670.0]"
DGL-G0017,graph representation,l01_p01_graph_representation_17.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 3 Graph representation. a) Example graph with six nodes and seven edges. Each node has an associated embedding of length five (brown vectors). Each edge has an associated embedding of length four (blue vectors). This graph can be represented by three matrices. b) The adjacency matrix is a binary matrix, where the element (m, n) is set to one if node m connects to node n. c) The node data matrix X contains the concatenated node embeddings. d) The edge data matrix E contains the edge embeddings.",printed,1.000,"[27.5,752.5,247.5,890.0]"
DGL-G0017,adjacency matrix,l01_p01_graph_representation_17.png,1,DGL_Lecture_1_Annotated.pdf,1,graph example,"Figure 3 Graph representation. a) Example graph with six nodes and seven edges. Each node has an associated embedding of length five (brown vectors). Each edge has an associated embedding of length four (blue vectors). This graph can be represented by three matrices. b) The adjacency matrix is a binary matrix, where the element (m, n) is set to one if node m connects to node n. c) The node data matrix X contains the concatenated node embeddings. d) The edge data matrix E contains the edge embeddings.",printed,1.000,"[27.5,752.5,247.5,890.0]"
