concept,chapter,chapter_title,pdf_page,book_page,evidence
machine learning,1,Introduction to Machine Learning,20,12,"Machine learning is a unified algorithmic framework designed to identify computational models that accurately describe empirical data and the phenomena underlying it, with little or no human involvement."
classification,1,Introduction to Machine Learning,21,13,This kind of task where we aim to teach a computer to distinguish between different types or classes of things (here cats and dogs) is referred to as a classification problem in the jargon of machine learning
training set,1,Introduction to Machine Learning,21,13,"a computer must be trained to recognize the difference between these two types of animals by learning from a batch of examples, typically referred to as a training set of data"
feature engineering,1,Introduction to Machine Learning,21,13,"we need to provide it with properly designed features, or ideally, have it find or learn such features itself"
generalization,1,Introduction to Machine Learning,21,13,"when they can generalize what they have learned to new, previously unseen, examples"
feature space,1,Introduction to Machine Learning,22,14,we can represent each image in our training set in a two-dimensional feature space where the features nose size and ear shape are the horizontal and vertical coordinate axes
model training,1,Introduction to Machine Learning,23,15,the tuning of such a set of parameters to a training set is referred to as the training of a model
validation set,1,Introduction to Machine Learning,23,15,"we now show the computer a batch of previously unseen images of cats and dogs, referred to generally as a validation set of data, and see how well it can identify the animal in each image"
model validation,1,Introduction to Machine Learning,23,15,To validate the efficacy of our trained learner we now show the computer a batch of previously unseen images
nonlinear model,1,Introduction to Machine Learning,24,16,"we can also try out (i.e., train and validate) an array of nonlinear models with the hopes that a more complex rule might better distinguish between cats and dogs"
misclassification,1,Introduction to Machine Learning,24,16,The misidentification of the single dog (a Boston terrier) is due largely to our choice of features
supervised learning,1,Introduction to Machine Learning,25,17,The sort of computational rules we can learn using machine learning generally fall into two main categories called supervised and unsupervised learning
regression,1,Introduction to Machine Learning,26,18,this type of problem comes in two forms called regression and classification depending on the general numerical form of the output
input/output relationship,1,Introduction to Machine Learning,26,18,Supervised learning problems (like the prototypical problem outlined in Section 1.2) refer to the automatic learning of computational rules involving input/output relationships.
continuous-valued output,1,Introduction to Machine Learning,27,19,"predictions about a continuous-valued output (here, share price) can be made"
cost function,1,Introduction to Machine Learning,35,27,"These functions, commonly referred to as cost or loss functions, take in a specific set of model parameters and return a score indicating how well we would accomplish a given learning task using that choice of parameters"
mathematical optimization,1,Introduction to Machine Learning,35,27,the search for parameters of a learning model via well-defined mathematical functions
clustering,1,Introduction to Machine Learning,35,27,Clustering aims at identifying gross underlying structure in a set of input data by grouping together points that share some structural characteristic
model parameters,1,Introduction to Machine Learning,35,27,take in a specific set of model parameters and return a score indicating how well we would accomplish a given learning task
minimization,1,Introduction to Machine Learning,36,28,we will always look to minimize cost functions in order to find the ideal parameters of their associated learning models
cross-validation,1,Introduction to Machine Learning,36,28,optimization also plays a fundamental role in cross-validation or the learning of a proper nonlinear model automatically for any dataset
zero order optimization,2,Zero order optimization techniques,41,33,zero order optimization techniques - are also referred to as derivative free optimization techniques
global minimum,2,Zero order optimization techniques,43,35,find a point w⋆ such that g(w⋆) ≤ g(w) for all w. This is the zero order definition of a global minimum.
global maximum,2,Zero order optimization techniques,43,35,g(w⋆) ≥ g(w) for all w. This is the zero order definition of a global maximum.
local minimum,2,Zero order optimization techniques,44,36,a function g has a local minimum at a point w⋆ if g(w⋆) ≤ g(w) for all w near w⋆
global optimization,2,Zero order optimization techniques,44,36,evaluate the function using a large number of input points and treat the input that provides the lowest function value as the approximate global minimizer
zero order optimality condition,2,Zero order optimization techniques,44,36,Packaged together these zero order definitions for minima and maxima (collectively called optima) are often referred to as the zero order condition for optimality
