concept,lecture,pdf_file,pdf_page,page_title,evidence,source_type,confidence,bbox
adjacency matrix,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Graphs coded into matrices,printed,1.000,"[5.5,11.0,137.5,33.0]"
graph representation,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Graphs are powerful tools in modeling interactions/relationships between different elements.,printed,1.000,"[5.5,66.0,220.0,99.0]"
simple graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,A graph is simple if it has no loops or multiple edges,handwritten,1.000,"[505.0,110.0,697.5,165.0]"
complete graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,A complete graph has each of its nodes connected to all other nodes. every two nodes are adjacent.,handwritten,1.000,"[752.5,110.0,945.0,192.5]"
weighted graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,edge weight w_ij ∈ R,handwritten,0.950,"[302.5,137.5,357.5,165.0]"
road network,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,Figure 1 Real-world graphs. Some objects such as a) road networks,printed,1.000,"[5.5,165.0,110.0,176.0]"
molecular graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,b) molecules,printed,1.000,"[115.5,165.0,154.0,176.0]"
circuit graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,c) electrical circuits are naturally structured as graphs.,printed,1.000,"[159.5,165.0,220.0,176.0]"
loop,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,loop: self-connection [an edge that connects up the same node],handwritten,1.000,"[516.0,176.0,587.5,247.5]"
multiple edges,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,multiple-edge: Two edges that connect the same end points (or more),handwritten,1.000,"[615.0,176.0,697.5,247.5]"
directed graph,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,directed l_ij,handwritten,0.950,"[247.5,192.5,302.5,220.0]"
adjacency,1,DGL_Lecture_1_Annotated.pdf,1,Graph Types and Representations,every two nodes are adjacent,handwritten,1.000,"[752.5,192.5,917.5,209.0]"
