adjacency matrix,graph coded into matrices,matrix a,a,graph adjacency matrix,graph matrix a,a matrix,graph structure,graph topology,structural patterns,adjacency,a_tilde
graph representation,modeling interactions,modeling relationships,"g = (v, e",graph embedding,graph structure,topology
road network
social network
citation network,scientific literature graph
knowledge graph,wikipedia graph,kg
program flow graph,control flow graph
geometric graph,point cloud graph
protein interaction network
hierarchical graph
node embedding,node data,node attributes,node features,node representation,embeddings,learned representation,x,latent representation,hidden representation,encoding,encode,learned embedding,h_k,feature embeddings,representation,encoder
edge embedding,edge data
molecular graph
circuit graph,electrical circuit
directed graph,digraph,directed
hypergraph,hyper graph
hyperedge
incidence matrix
heterogeneous graph
high-order relationships
weighted graph,binary graph,unweighted graph,weighted,binary
node type
relation type
triplet
edge type
simple graph,simple
annotated graph,decorated graph,attributed graph
loop,self-connection,self-loop
multiple edges,multi-edge
feature matrix,attribute matrix,node feature matrix,x,input features,node features,node attributes,h0
embedding matrix,node embedding matrix,z matrix
complete graph,complete
adjacency,adjacent
subgraph
vertex set,v(h,v(g
proper subgraph
spanning subgraph
induced subgraph
edge set,e(h,e(g
symmetric matrix,symmetric
graph efficiency,efficiency
graph resilience,resilience
node centrality measures,centrality
microscale topology,micro scale topology
percolation threshold
mesoscale topology,meso scale topology
highly connected core structure,core structure
star-like graphs,star graphs
permutation invariance,permutation invariant
graph density,density
graph sparsity,sparsity
principal component analysis,pca,linear autoencoder
covariance matrix,covariance
eigenvalues,spectrum
eigen decomposition,spectral decomposition
eigenvectors,eigenmodes
linear regression,least squares
degree centrality,degree
feature integration,integrating information
topology,graph topology
graph walks,walks,walks of length k
matrix powers,powers of matrices
core-periphery structure,core & periphery
betweenness centrality,betweenness
graph classification,classify a graph,graph-level prediction,graph prediction,graph-level task,graph-level classification
logistic activation,sigmoid,sigmoid function,sig
predicted class probability,output probability
graph neural network,gnn,gcn,deep graph learning,graph convolutional network
fixed adjacency matrix,a = fixed
learned weights,parameters,trainable parameters,omega,weights
average pooling,mean pooling
node classification,classify node,node-level prediction,node prediction,node classification task
edge prediction,link prediction,edge-level prediction
dot product,inner product
binary classification,0/1 prediction,binary task
representation learning,feature transformation,embedding,linear transformation,weight matrix multiplication,feature learning,graph feature learning,weight matrix,linear transform,matrix multiplication,transform
machine learning,ml
backpropagation,gradient descent,optimization,gd
fixed prior
dimensionality reduction,lower-dimensional spanning space
spanning set
encode-decode function,encoder-decoder
hand-crafted features,handcrafted features
feature representation,classic feature representation
deep learning,dl
matrix factorization,cw ≈ x
optimal subspace,learnable representation
deep non-negative matrix factorization,deep nmf
classification,classify
feature selection
k-means clustering,grouping
regression,regress,regression task,regression problem
matrix completion,imputation
supervised regression,linear regression
single regression model,single-output regression
single layer linear network,linear network
nonlinear network,nonlinear model,multi-layer perceptron,mlp
weights,parameters
linear aggregation,sum,aggregation,linear combination,agg,aggregate
activation function,nonlinear function,nonlinearity,relu,activation,non-linearity
bias,intercept,offset,bias term
hidden layer,hidden unit
composed feature transformation,final transformation
latent representation,embedding space
l2 loss,squared error loss
nonlinear transformation,activation,non-linear transformation,activation function,nonlinear function
multi-regression models,multi-output regression
network mapping function,forward pass
feature embedding,feature representation,embeddings,latent representation
manifold learning,manifold hypothesis,dimensionality reduction
neighborhood preservation,local structure preservation
intrinsic dimension,manifold dimension
extrinsic dimension,ambient dimension
geodesic distance,shortest path
training samples,data samples,training nodes,train nodes
node-based features,node embeddings
ml problem formalization,machine learning problem formalization
shared mapping,weight vector w
edge-based features,edge embeddings,edge features,edge data,e
feature extraction
reductionist assumption
graph-based features,graph features
collectivist points,interacting data samples
high-dimensional manifold,manifold,high-dimensional space
node link prediction,link prediction
graph link prediction,graph link forecasting
graph autoencoder,gae
graph variational autoencoder,vgae
similarity function,similarity measure
connected nodes,are connected
close/similar pairs,similar node pairs
shallow node embedding,shallow embedding
unsupervised learning,self-supervised,ul,supervised learning,ssl,self-supervised learning,supervised
self-supervised learning,ssl
node labels,node labels and features
graph structure encoding,network structure
constrained embedding
node similarity,similarity between nodes
shared neighbors,share neighbors
embedding size,embedding dimension,embedding dim
graph feature representation,feature representation
graph feature embedding,feature embedding
graph feature compression,feature compression
graph feature reduction,feature reduction
graph feature representation method,feature representation technique
graph feature embedding method,feature embedding technique
graph feature compression method,feature compression technique
graph feature reduction method,feature reduction technique
number of nodes,# nodes
task-dependent learning,task-specific learning
topological roles,structural roles
node clustering,node grouping
graph clustering,graph grouping,clustering algorithm
node regression,node value prediction
graphlets,subgraph patterns
graph sampling,sampling methods
graph generation,generative models,graph to embeddings,embeddings to graphs,graph encoders,graph decoders,generating new graphs,generative models for graphs
graph regression,graph value prediction
graph generation model,generative graph model
graph generative adversarial network,graphgan
graph augmentation,graph data augmentation
graph feature sampling,feature sampling
graph feature generation,feature generation
graph feature sampling method,feature sampling technique
graph feature generation method,feature generation technique
binary classification task,binary problem
deep sequential learning,deep learning,sequential learning
loss function,objective function,squared error loss,loss
matrix multiplication,matrix product
graph neural architecture,gnn architecture
function f,f function
learnable parameters,parameters
transformation layers,layers
mapping to next layer,layer mapping
graph pooling,pooling layers,gpool,graph unpooling,gunpool
graph feature pooling,feature pooling
graph feature pooling method,feature pooling technique
graph convolutional network,gcn,graph neural network,gnn,graph cnn
deep neural network,dnn,multi-layer network
linearization,removing nonlinearity
layer-wise normalization,embedding normalization
gradient explosion,vanishing gradient
message passing,propagation rule,feature aggregation,neighbor aggregation,neighborhood aggregation,mpnn,aggregate information,aggregation,msg passing,message-passing-based
self-loop augmentation,a hat,identity addition,self-loop,diagonal enhancement
receptive field,k-hop neighborhood,k-hop
network output function,output prediction,readout
multilayer perceptron,mlp,classifier
action recognition
recommendation systems
clustering
graph attention,gat
graph transformer
graphsage
reinforcement learning,rl
transformer
contrastive learning
knowledge distillation,distillation
meta-learning
few-shot learning
domain adaptation
natural language processing,nlp
neural architecture search,nas
attention
image classification
adversarial training
active learning
computation graph,computational graph
cross-entropy,ce
prediction head,output layer,classifier,prediction
hyperparameters,mini-batch size
stochastic gradient descent,sgd
backward pass
chain rule
testing node,unseen node,test nodes,testing nodes
transductive learning,transductive,transductive setting,transductive node classification
mean squared error,mse
inductive learning,inductive node embedding,inductive setting,inductive node classification
inductive capability,inductive learning,generalization to new nodes,generalization to new graphs
parameter sharing,shared parameters
graph-level regression,graph-level prediction,graph classification
output scores,predictions
global mean pooling,mean pooling
global max pooling,max pooling,element-wise maximum
global sum pooling,sum pooling
hierarchical pooling,diffpool
operation order
dropout,drop out
batch normalization,bn
regularization,regularizer,regularize
kipf normalization,symmetric normalization
degree matrix,d
global embedding aggregation,graph level aggregation
local embedding aggregation,node level aggregation
softmax normalization,softmax operation
attention masking,masked attention
graph attention network,gat
graph-based aggregation,agg
loss objective,loss function
parameter update,update parameters
noise in training,noisy updates
batch gradient descent,full dataset usage
epoch,training epoch
stability,stable convergence
overfitting,risk of overfitting
convergence,balanced convergence
computational efficiency,efficiency
gpu acceleration,parallel processing
node embedding computation graph,computation graph
mini-batch gradient descent,mini-batch sgd
subgraph sampling,mini-batch subgraph
redundancy
overlap
graph expansion problem
memory usage,memory requirements
disjoint subsets,clusters
exponential time complexity
random neighborhood sampling,neighborhood sampling
graph partitioning,partitioning
node sampling,node-wise sampling
information loss
sampling bias
ladies,layer-dependent importance sampling
graphsaint
scalability
layer sampling,layer-wise sampling
fastgcn
bipartite graph
empirical mean,mean
standard deviation,variance
covariate shift
graph neural network layer,gnn layer,gcn layer
attention mechanism,attention
linear layer,linear transformation
gnn expressiveness,expressive power
training graphs
test graph
batching,batch nodes
global pooling,readout,aggregation
test set inference,prediction
transformation invariance,invariance to transformation
node ordering,node permutation
node permutation invariance,permutation invariance,permutation invariant function,invariant to permutations,order invariance
node permutation equivariance in gnns,permutation equivariant gcn computation
node permutation equivariance,equivariance
transformation equivariance,equivariant transformation
permutation,bijection,reordering,bijective function
associativity,associative property
non-commutativity,non-commutative,not commutative
permutation matrix,p,p matrix
expressive power of gnn,gnn expressiveness,expressive gnn
rooted subtree,rooted subtrees
injective aggregation,injective neighbor aggregation
node representation capacity,embedding capacity
node computational graph,computation graph,computational graph
k-hop similarity,k-hop neighborhood similarity
symmetric neighborhood,structural symmetry
gin,graph isomorphism network
dropgnn,drop gnn
weisfeiler-lehman graph isomorphism test,wl test,weisfeiler-lehman test
graph isomorphism problem,graph isomorphism
wl color refinement algorithm,wl color refinement,color refinement
mean aggregator,mean aggregation
max aggregator,max aggregation
injective hash function,injective hash
multiset
universal function approximator
aggregation function,agg
generative learning tasks,generative gnn tasks,graph generation,generative task,generative model,generative gnn,generative graph neural network,self-supervised generative gnn tasks,supervised generation,supervised generative gnn tasks
supervised generative gnn tasks,supervised generative tasks
edge feature matrix,e
input graph,source graph,single graph prediction,target graph
predict and analyze patterns,pattern prediction
domain a,input domain
output label,predicted label
multiple output scores,output scores
gnn aims,graph neural network aims
source graph distribution,input distribution
learn the distribution of given graphs,distribution learning
target domain
target graph distribution,output distribution
domain b,output domain
adjacency matrix generation,generate graph adjacency matrix
