part_concept,whole_concept
feature engineering,machine learning
model training,machine learning
model validation,machine learning
feature,training set
standard normalization,feature engineering
mean-centering,feature engineering
projection,feature engineering
linear autoencoder,feature engineering
principal component analysis,feature engineering
dimension reduction,feature engineering
feature selection,feature engineering
histogram features,feature engineering
normalization,feature engineering
stemming,feature engineering
stop words,feature engineering
discriminative features,feature engineering
edge histogram features,feature engineering
spectrogram,feature engineering
nonlinear feature engineering,feature engineering
kernel pca,feature engineering
feature learning,feature engineering
feature,feature space
training set,model training
feature space,model training
cost function,model training
mathematical optimization,model training
model parameters,model training
cost function history plot,model training
convergence criterion,model training
vectorized implementation,model training
standard normalization,model training
early stopping,model training
regularization,model training
mini-batch gradient descent,model training
batch size,model training
feature learning,model training
training error,model training
optimization dial,model training
regularized cost function,model training
backpropagation,model training
validation set,model validation
cross-validation,model validation
classification accuracy,model validation
early stopping by validation accuracy,model validation
confusion matrix,model validation
multi-class classification metrics,model validation
validation error,model validation
l2 regularization based cross-validation,model validation
k-folds cross-validation,model validation
naive cross-validation,model validation
regularization-based cross-validation,model validation
input/output relationship,regression
continuous-valued output,regression
model parameters,regression
least absolute deviations,regression
bias,regression
least squares cost function,regression
feature,regression
feature-touching weights,regression
normal equations,regression
linear combination,regression
point-wise cost,cost function
cost function,mathematical optimization
minimization,mathematical optimization
k-means clustering,clustering
kernel k-means,clustering
bias,model parameters
feature-touching weights,model parameters
weight matrix,model parameters
leaf parameters,model parameters
cost function,minimization
training set,cross-validation
model training,cross-validation
validation set,cross-validation
zero order optimality condition,zero order optimization
random sampling,zero order optimization
random search,zero order optimization
coordinate search,zero order optimization
global minimum,zero order optimality condition
global maximum,zero order optimality condition
local minimum,zero order optimality condition
local maximum,zero order optimality condition
cost function,local optimization
descent direction,local optimization
sequential refinement,local optimization
initial point,local optimization
coordinate descent,local optimization
steplength,local optimization
convergence criterion,local optimization
backtracking line search,local optimization
cost function,sequential refinement
descent direction,sequential refinement
initial point,sequential refinement
diminishing steplength rules,sequential refinement
steplength,sequential refinement
convergence criterion,sequential refinement
backtracking line search,sequential refinement
