concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token,embedding_model
0,random_graph,random_graph,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
1,mathematics,mathematics,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c"", ""complexity . statistical_inference . data . martingale_(probability_theory) . markov_chain . arithmetic_logic_unit . digital_electronics . data_mining . artificial_intelligence . divide_and_conquer_algorithm . robotics . robot . computer_security . cache_coherence . shared_memory . parsing . finite-state_machine . malware . authentication . firewall_(computing) . information_assurance . relational_model . compiler . computer_architecture . atomicity_(database_systems) . bioinformatics . b-tree ."", ""index_(database) . computational_chemistry . suffix_tree . string_searching_algorithm . 3d_modeling . analysis_of_algorithms . finite_set . fourier_analysis . polynomial . vector_processor . parallel_computing . mobile_device . newton's_method . approximation . symbol_table . formal_language . document_classification . cryptography . reinforcement_learning . foundations_of_mathematics . partial_differential_equation . dynamic_programming . stochastic_process . continuous_function . computational""]",bert,,sentence-transformers/all-mpnet-base-v2
2,knowledge_representation_and_reasoning,knowledge_representation_and_reasoning,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
3,algorithm_design,algorithm_design,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
4,natural_language_processing,natural_language_processing,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
5,natural_language,natural_language,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
6,algorithm,algorithm,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c"", ""complexity . statistical_inference . data . martingale_(probability_theory) . markov_chain . arithmetic_logic_unit . digital_electronics . data_mining . artificial_intelligence . divide_and_conquer_algorithm . robotics . robot . computer_security . cache_coherence . shared_memory . parsing . finite-state_machine . malware . authentication . firewall_(computing) . information_assurance . relational_model . compiler . computer_architecture . atomicity_(database_systems) . bioinformatics . b-tree ."", ""index_(database) . computational_chemistry . suffix_tree . string_searching_algorithm . 3d_modeling . analysis_of_algorithms . finite_set . fourier_analysis . polynomial . vector_processor . parallel_computing . mobile_device . newton's_method . approximation . symbol_table . formal_language . document_classification . cryptography . reinforcement_learning . foundations_of_mathematics . partial_differential_equation . dynamic_programming . stochastic_process . continuous_function . computational""]",bert,,sentence-transformers/all-mpnet-base-v2
7,combinatorics,combinatorics,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
8,system_programming,system_programming,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
9,unix,unix,"[""random_graph . mathematics . knowledge_representation_and_reasoning . algorithm_design . natural_language_processing . natural_language . algorithm . combinatorics . system_programming . unix . mathematical_induction . mathematical_proof . computer_vision . image_processing . randomness . computer_science . number_theory . database . data_(computing) . machine_learning . graph_theory . type_system . programming_language . variable_(computer_science) . computer_programming . logic . distributed_c""]",bert,,sentence-transformers/all-mpnet-base-v2
