concept,file_name,chapter,pdf_page,book_page,figure_label,caption
classification,ch01_classification_figure_1_1_p21_2.png,1,21,13,Figure 1.1,A training set consisting of six images of cats (highlighted in blue) and six images of dogs (highlighted in red). This set is used to train a machine learning model that can distinguish between future images of cats and dogs. The images in this Figure were taken from [1].
machine learning,ch01_classification_figure_1_1_p21_2.png,1,21,13,Figure 1.1,A training set consisting of six images of cats (highlighted in blue) and six images of dogs (highlighted in red). This set is used to train a machine learning model that can distinguish between future images of cats and dogs. The images in this Figure were taken from [1].
training set,ch01_classification_figure_1_1_p21_2.png,1,21,13,Figure 1.1,A training set consisting of six images of cats (highlighted in blue) and six images of dogs (highlighted in red). This set is used to train a machine learning model that can distinguish between future images of cats and dogs. The images in this Figure were taken from [1].
feature engineering,ch01_feature_engineering_figure_1_2_p22.png,1,22,14,Figure 1.2,"Feature space representation of the training set where the horizontal and vertical axes represent the features nose size and ear shape, respectively. The fact that the cats and dogs from our training set lie in distinct regions of the feature space reflects a good choice of features."
feature space,ch01_feature_engineering_figure_1_2_p22.png,1,22,14,Figure 1.2,"Feature space representation of the training set where the horizontal and vertical axes represent the features nose size and ear shape, respectively. The fact that the cats and dogs from our training set lie in distinct regions of the feature space reflects a good choice of features."
model training,ch01_model_training_figure_1_3_p23_2.png,1,23,15,Figure 1.3,"A trained linear model (shown in black) provides a computational rule for distinguishing between cats and dogs. Any new image received in the future will be classified as a cat if its feature representation lies above this line (in the blue region), and a dog if the feature representation lies below this line (in the red region)."
model validation,ch01_model_validation_figure_1_4_p24_2.png,1,24,16,Figure 1.4,"A validation set of cat and dog images (also taken from [1]). Notice that the images in this set are not highlighted in red or blue (as was the case with the training set shown in Figure 1.1) indicating that the true identity of each image is not revealed to the learner. Notice that one of the dogs, the Boston terrier in the bottom right corner, has both a short nose and pointy ears. Due to our chosen feature representation the computer will think this is a cat!"
validation set,ch01_model_validation_figure_1_4_p24_2.png,1,24,16,Figure 1.4,"A validation set of cat and dog images (also taken from [1]). Notice that the images in this set are not highlighted in red or blue (as was the case with the training set shown in Figure 1.1) indicating that the true identity of each image is not revealed to the learner. Notice that one of the dogs, the Boston terrier in the bottom right corner, has both a short nose and pointy ears. Due to our chosen feature representation the computer will think this is a cat!"
misclassification,ch01_misclassification_figure_1_5_p25_2.png,1,25,17,Figure 1.5,"Identification of (the feature representation of) validation images using our trained linear model. The Boston terrier (pointed to by an arrow) is misclassified as a cat since it has pointy ears and a short nose, just like the cats in our training set."
input/output relationship,ch01_input_output_relationship_figure_1_7_p26.png,1,26,18,Figure 1.7,(top-left panel) A toy training dataset consisting of 10 corporations' share price and revenue values. (top-right panel) A linear model is fit to the data. This trend line models the overall trajectory of the points and can be used for prediction in the future as shown in the bottom-left and bottom-right panels.
regression,ch01_input_output_relationship_figure_1_7_p26.png,1,26,18,Figure 1.7,(top-left panel) A toy training dataset consisting of 10 corporations' share price and revenue values. (top-right panel) A linear model is fit to the data. This trend line models the overall trajectory of the points and can be used for prediction in the future as shown in the bottom-left and bottom-right panels.
supervised learning,ch01_input_output_relationship_figure_1_7_p26.png,1,26,18,Figure 1.7,(top-left panel) A toy training dataset consisting of 10 corporations' share price and revenue values. (top-right panel) A linear model is fit to the data. This trend line models the overall trajectory of the points and can be used for prediction in the future as shown in the bottom-left and bottom-right panels.
continuous-valued output,ch01_continuous_valued_output_figure_1_8_p27_2.png,1,27,19,Figure 1.8,"Figure associated with Example 1.1 illustrating total student loan debt in the United States measured quarterly from 2006 to 2014. The rapid increase rate of the debt, measured by the slope of the trend line fit to the data, confirms that student debt is growing very fast. See text for further details."
clustering,ch01_clustering_figure_1_15_p35.png,1,35,27,Figure 1.15,Two toy examples of the vast array in which input data can cluster. Clustering algorithms are designed to uncover these kinds of distinct structures. In each instance the distinct clusters in the original data (on the left) are colored for visualization purposes (on the right).
cost function,ch01_cost_function_figure_1_16_p36.png,1,36,28,Figure 1.16,"(top panels) A figurative drawing of the two-dimensional cost function associated with learning the slope and intercept parameters of a linear model for the share price regression problem discussed in the previous Section and shown in Figure 1.7. Also shown here are two different sets of parameter values, one (left) at the minimum of the cost function and the other (right) at a point with larger cost function value. (bottom panels) The linear model corresponding to each set of parameters in the top panel. The set of parameters resulting in the best fit are found at the minimum of the cost surface."
