concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token,embedding_model
0,anaphora resolution,anaphora resolution,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
1,generative adversarial networks,generative adversarial networks,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
2,neural machine translation,neural machine translation,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
3,variational autoencoders,variational autoencoders,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
4,ibm translation models,ibm translation models,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
5,bleu,bleu,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
6,rouge,rouge,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
7,scientific article summarization,scientific article summarization,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
8,open information extraction,open information extraction,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
9,sentence simplification,sentence simplification,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
10,attention models,attention models,"[""anaphora resolution . generative adversarial networks . neural machine translation . variational autoencoders . ibm translation models . bleu . rouge . scientific article summarization . open information extraction . sentence simplification . attention models . knowledge graph . semantic role labeling . abstract meaning representation . coreference and coreference resolution . machine reading comprehension . context free grammar . context sensitive grammar . domain adaptation . transfer learning""]",bert,,sentence-transformers/all-mpnet-base-v2
