formula_id,concept,latex,lecture,pdf_file,pdf_page,source_type,confidence,bbox,label
DGL-F0001,weighted graph,w_{ij} \in \mathbb{R},1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[319.0,148.5,357.5,159.5]",edge weight definition
DGL-F0002,directed graph,l_{ij},1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[264.0,198.0,286.0,209.0]",directed edge label
DGL-F0002,weighted graph,l_{ij},1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[264.0,198.0,286.0,209.0]",directed edge label
DGL-F0003,weighted graph,w_{ij} = 0.5,1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[341.0,209.0,379.5,220.0]",undirected edge weight
DGL-F0004,weighted graph,l_{ik} = 0,1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[253.0,280.5,280.5,291.5]",no edge
DGL-F0005,weighted graph,l_{kj} = 1,1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[253.0,291.5,280.5,302.5]",edge exists
DGL-F0006,hypergraph,H,1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[319.0,412.5,327.25,423.5]",hypergraph symbol
DGL-F0007,subgraph,V(H) \subseteq V(G) \quad \& \quad E(H) \subseteq E(G),1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[752.5,412.5,928.5,429.0]",subgraph condition
DGL-F0007,vertex set,V(H) \subseteq V(G) \quad \& \quad E(H) \subseteq E(G),1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[752.5,412.5,928.5,429.0]",subgraph condition
DGL-F0007,edge set,V(H) \subseteq V(G) \quad \& \quad E(H) \subseteq E(G),1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[752.5,412.5,928.5,429.0]",subgraph condition
DGL-F0008,subgraph,V(H) \subseteq V(G) \text{ and } E(H) \subseteq E(G),1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[752.5,521.5,917.5,538.0]",subgraph definition
DGL-F0009,induced subgraph,G[S],1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[807.5,697.5,835.0,708.5]",induced subgraph notation
DGL-F0010,graph representation,"G = (A, V, E)",1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[0.0,725.0,110.0,752.5]",Graph representation into a matrix
DGL-F0011,annotated graph,"G = ((V, X), E)",1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[560.0,725.0,670.0,741.5]",annotated graph definition
DGL-F0012,graph representation,"(A, X, E)",1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[137.5,752.5,220.0,780.0]",Graph tuple representation
DGL-F0013,heterogeneous graph,"G = (V, E, R, T)",1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[275.0,752.5,385.0,780.0]",Heterogeneous graph definition
DGL-F0014,feature matrix,X = \begin{bmatrix} d_1 \\ \vdots \\ d_n \end{bmatrix} \in \mathbb{R}^{n \times d},1,DGL_Lecture_1_Annotated.pdf,1,handwritten,0.950,"[615.0,780.0,725.0,835.0]",feature matrix definition
DGL-F0015,heterogeneous graph,"e_{12}^{cite} = (v_1, ""cite"", v_2)",1,DGL_Lecture_1_Annotated.pdf,1,handwritten,1.000,"[330.0,890.0,440.0,917.5]",Heterogeneous edge triplet
