source_id,target_id,source_index,target_index,source,target,label,split,negative_type,similarity
47,186,47,186,conditional random fields,crawling the web,0,train,label_file_random,0.23634201288223267
38,25,38,25,word segmentation,word embedding,0,train,label_file_random,0.5368000268936157
167,148,167,148,feature learning,statistical machine translation,0,train,label_file_random,0.34839552640914917
121,108,121,108,constraint satisfaction,bayesian network,0,train,label_file_random,0.3252122402191162
158,73,158,73,image retrieval,linear regression,0,train,label_file_random,0.347947359085083
46,129,46,129,hidden markov models,shift-reduce parsing,0,train,label_file_random,0.39849984645843506
202,181,202,181,data structures and algorithms,collaborative filtering,0,train,label_file_random,0.3294822871685028
122,97,122,97,beam search,knowledge representation,0,train,label_file_random,0.3418009281158447
87,41,87,41,svm,automated essay scoring,0,train,label_file_random,0.460246205329895
73,22,73,22,linear regression,q learning,0,train,label_file_random,0.2162465900182724
183,197,183,197,hierarchical models,multi-modal learning,0,train,label_file_random,0.40452054142951965
101,116,101,116,speech recognition,propositional logic,0,train,label_file_random,0.3522099256515503
16,99,16,99,context free grammar,autonomous cars,0,train,label_file_random,0.13032937049865723
46,178,46,178,hidden markov models,bidirectional recurrent neural networks,0,train,label_file_random,0.5323572158813477
173,58,173,58,network theory,morphological disambiguation,0,train,label_file_random,0.2115802764892578
5,195,5,195,bleu,highway networks,0,train,label_file_random,0.25510841608047485
31,131,31,131,dependency parsing,caption generation,0,train,label_file_random,0.43522024154663086
32,120,32,120,tree adjoining grammar,textual entailment,0,train,label_file_random,0.43291378021240234
56,51,56,51,variational bayes,question answering,0,train,label_file_random,0.3004439175128937
79,175,79,175,kernel function,cross entropy,0,train,label_file_random,0.5139808654785156
0,42,0,42,anaphora resolution,latent dirichlet allocation,0,train,label_file_random,0.31104156374931335
161,10,161,10,n-gram,attention models,0,train,label_file_random,0.45189398527145386
183,16,183,16,hierarchical models,context free grammar,0,train,label_file_random,0.2383975386619568
88,126,88,126,decision trees,facial recognition systems,0,train,label_file_random,0.3023415803909302
150,163,150,163,edit distance,t-sne,0,train,label_file_random,0.24186277389526367
146,196,146,196,gated recurrent units,stack lstm,0,train,label_file_random,0.5974999666213989
150,38,150,38,edit distance,word segmentation,0,train,label_file_random,0.4373340606689453
38,95,38,95,word segmentation,word2vec,0,train,label_file_random,0.41582605242729187
95,27,95,27,word2vec,semantic parsing,0,train,label_file_random,0.337260901927948
17,6,17,6,context sensitive grammar,rouge,0,train,label_file_random,0.29101312160491943
135,105,135,105,wordnet,genetic algorithms,0,train,label_file_random,0.18619652092456818
132,170,132,170,linear programming,data preprocessing,0,train,label_file_random,0.39370423555374146
124,57,124,57,matrix multiplication,discourse model,0,train,label_file_random,0.23382613062858582
196,52,196,52,stack lstm,automatic summarization,0,train,label_file_random,0.3754335641860962
37,42,37,42,named entity recognition,latent dirichlet allocation,0,train,label_file_random,0.3940029740333557
90,140,90,140,k-nn,particle filter,0,train,label_file_random,0.30479928851127625
41,145,41,145,automated essay scoring,log-linear models,0,train,label_file_random,0.30981138348579407
158,170,158,170,image retrieval,data preprocessing,0,train,label_file_random,0.3400939702987671
177,117,177,117,kullback-leibler divergence,gradient descent,0,train,label_file_random,0.4279448986053467
113,25,113,25,markov chain monte carlo,word embedding,0,train,label_file_random,0.12402285635471344
80,3,80,3,boltzmann machine,variational autoencoders,0,train,label_file_random,0.5607963800430298
146,80,146,80,gated recurrent units,boltzmann machine,0,train,label_file_random,0.41548800468444824
17,8,17,8,context sensitive grammar,open information extraction,0,train,label_file_random,0.3215999901294708
125,52,125,52,differential calculus,automatic summarization,0,train,label_file_random,0.22256413102149963
120,88,120,88,textual entailment,decision trees,0,train,label_file_random,0.2857098877429962
7,9,7,9,scientific article summarization,sentence simplification,0,train,label_file_random,0.6784771084785461
73,34,73,34,linear regression,relation extraction,0,train,label_file_random,0.2693346440792084
93,63,93,63,pagerank,distributional semantics,0,train,label_file_random,0.28770098090171814
130,139,130,139,speech synthesis,spectral clustering,0,train,label_file_random,0.23070114850997925
125,100,125,100,differential calculus,phonetics,0,train,label_file_random,0.3087282180786133
129,144,129,144,shift-reduce parsing,spelling correction,0,train,label_file_random,0.32461971044540405
182,71,182,71,character level language models,multilingual word,0,train,label_file_random,0.48948872089385986
148,116,148,116,statistical machine translation,propositional logic,0,train,label_file_random,0.16312851011753082
95,166,95,166,word2vec,structured prediction,0,train,label_file_random,0.39494237303733826
1,189,1,189,generative adversarial networks,pointer networks,0,train,label_file_random,0.4195968508720398
90,66,90,66,k-nn,transliteration,0,train,label_file_random,0.2528674304485321
100,10,100,10,phonetics,attention models,0,train,label_file_random,0.28709036111831665
38,67,38,67,word segmentation,lexicography,0,train,label_file_random,0.5004139542579651
173,105,173,105,network theory,genetic algorithms,0,train,label_file_random,0.34739014506340027
83,108,83,108,first-order logic,bayesian network,0,train,label_file_random,0.38120022416114807
108,92,108,92,bayesian network,harmonic functions,0,train,label_file_random,0.3615224361419678
47,68,47,68,conditional random fields,chat bots,0,train,label_file_random,0.28097572922706604
40,169,40,169,optical character recognition,regularization,0,train,label_file_random,0.31770214438438416
156,33,156,33,bias-variance tradeoff,combinatory categorial grammar,0,train,label_file_random,0.15388517081737518
180,72,180,72,bio text mining,evaluation metrics,0,train,label_file_random,0.22679072618484497
0,170,0,170,anaphora resolution,data preprocessing,0,train,label_file_random,0.2671857476234436
28,202,28,202,stemming,data structures and algorithms,0,train,label_file_random,0.36180031299591064
89,95,89,95,clustering,word2vec,0,train,label_file_random,0.18574874103069305
27,122,27,122,semantic parsing,beam search,0,train,label_file_random,0.3509334921836853
125,85,125,85,differential calculus,noisy channel model,0,train,label_file_random,0.21250292658805847
105,113,105,113,genetic algorithms,markov chain monte carlo,0,train,label_file_random,0.2981383204460144
114,150,114,150,k means,edit distance,0,train,label_file_random,0.340309202671051
50,146,50,146,part of speech tagging,gated recurrent units,0,train,label_file_random,0.3683050870895386
9,56,9,56,sentence simplification,variational bayes,0,train,label_file_random,0.23535561561584473
48,51,48,51,deep belief networks,question answering,0,train,label_file_random,0.3800336420536041
65,144,65,144,a* search,spelling correction,0,train,label_file_random,0.2591989040374756
152,145,152,145,conditional probability,log-linear models,0,train,label_file_random,0.47356855869293213
59,102,59,102,weakly-supervised learning,crowdsourcing,0,train,label_file_random,0.4137749671936035
204,67,204,67,relational databases,lexicography,0,train,label_file_random,0.4005942940711975
58,117,58,117,morphological disambiguation,gradient descent,0,train,label_file_random,0.2225208431482315
104,58,104,58,spectral methods,morphological disambiguation,0,train,label_file_random,0.2061004340648651
163,158,163,158,t-sne,image retrieval,0,train,label_file_random,0.43666553497314453
138,80,138,80,paraphrasing,boltzmann machine,0,train,label_file_random,0.25049853324890137
192,130,192,130,game playing in ai,speech synthesis,0,train,label_file_random,0.22089463472366333
7,13,7,13,scientific article summarization,abstract meaning representation,0,train,label_file_random,0.41326868534088135
180,145,180,145,bio text mining,log-linear models,0,train,label_file_random,0.34625816345214844
188,180,188,180,greedy algorithms,bio text mining,0,train,label_file_random,0.29705506563186646
198,135,198,135,linear algebra,wordnet,0,train,label_file_random,0.30509790778160095
18,156,18,156,domain adaptation,bias-variance tradeoff,0,train,label_file_random,0.391598641872406
79,43,79,43,kernel function,latent semantic indexing,0,train,label_file_random,0.3416813910007477
83,191,83,191,first-order logic,seq2seq,0,train,label_file_random,0.24365268647670746
25,139,25,139,word embedding,spectral clustering,0,train,label_file_random,0.33149051666259766
147,141,147,141,gibbs sampling,prosody,0,train,label_file_random,0.25615406036376953
200,195,200,195,descriptive statistics and hypothesis testing,highway networks,0,train,label_file_random,0.20865869522094727
151,178,151,178,chomsky hierarchy,bidirectional recurrent neural networks,0,train,label_file_random,0.25873780250549316
132,23,132,23,linear programming,dqn,0,train,label_file_random,0.24872338771820068
71,189,71,189,multilingual word,pointer networks,0,train,label_file_random,0.3061125576496124
146,6,146,6,gated recurrent units,rouge,0,train,label_file_random,0.32181233167648315
33,11,33,11,combinatory categorial grammar,knowledge graph,0,train,label_file_random,0.2662719488143921
119,115,119,115,tokenization,earley parsing,0,train,label_file_random,0.4903491139411926
95,74,95,74,word2vec,convex optimization,0,train,label_file_random,0.16405916213989258
110,144,110,144,bagging,spelling correction,0,train,label_file_random,0.22203484177589417
104,29,104,29,spectral methods,sentiment analysis,0,train,label_file_random,0.3078050911426544
33,132,33,132,combinatory categorial grammar,linear programming,0,train,label_file_random,0.2912184000015259
183,57,183,57,hierarchical models,discourse model,0,train,label_file_random,0.4118621051311493
53,191,53,191,supertagging,seq2seq,0,train,label_file_random,0.43780308961868286
200,17,200,17,descriptive statistics and hypothesis testing,context sensitive grammar,0,train,label_file_random,0.19847199320793152
158,133,158,133,image retrieval,inference,0,train,label_file_random,0.39750316739082336
158,16,158,16,image retrieval,context free grammar,0,train,label_file_random,0.16983333230018616
114,61,114,61,k means,neural turing machine,0,train,label_file_random,0.1649184226989746
166,135,166,135,structured prediction,wordnet,0,train,label_file_random,0.31152886152267456
106,92,106,92,ensemble learning,harmonic functions,0,train,label_file_random,0.28041401505470276
111,183,111,183,maximum likelihood estimation,hierarchical models,0,train,label_file_random,0.4711942672729492
61,113,61,113,neural turing machine,markov chain monte carlo,0,train,label_file_random,0.20175127685070038
187,73,187,73,citation networks,linear regression,0,train,label_file_random,0.20700320601463318
178,204,178,204,bidirectional recurrent neural networks,relational databases,0,train,label_file_random,0.27862897515296936
90,180,90,180,k-nn,bio text mining,0,train,label_file_random,0.30539199709892273
31,53,31,53,dependency parsing,supertagging,0,train,label_file_random,0.6130326390266418
156,70,156,70,bias-variance tradeoff,multi-task learning,0,train,label_file_random,0.3801581561565399
16,46,16,46,context free grammar,hidden markov models,0,train,label_file_random,0.3375224173069
41,108,41,108,automated essay scoring,bayesian network,0,train,label_file_random,0.28142040967941284
